S92000003,1990,Count,Mt Co2Equiv,5.599,Agriculture and Related Land Use,CH4
S92000003,1990,Count,Mt Co2Equiv,5.473,Agriculture and Related Land Use,CO2
S92000003,1990,Count,Mt Co2Equiv,3.162,Agriculture and Related Land Use,N2O
S92000003,1995,Count,Mt Co2Equiv,5.552,Agriculture and Related Land Use,CH4
S92000003,1995,Count,Mt Co2Equiv,5.725,Agriculture and Related Land Use,CO2
S92000003,1995,Count,Mt Co2Equiv,3.186,Agriculture and Related Land Use,N2O
S92000003,1998,Count,Mt Co2Equiv,5.682,Agriculture and Related Land Use,CH4
S92000003,1998,Count,Mt Co2Equiv,5.478,Agriculture and Related Land Use,CO2
S92000003,1998,Count,Mt Co2Equiv,3.293,Agriculture and Related Land Use,N2O
S92000003,1999,Count,Mt Co2Equiv,5.599,Agriculture and Related Land Use,CH4
S92000003,1999,Count,Mt Co2Equiv,5.233,Agriculture and Related Land Use,CO2
S92000003,1999,Count,Mt Co2Equiv,3.252,Agriculture and Related Land Use,N2O
S92000003,2000,Count,Mt Co2Equiv,5.512,Agriculture and Related Land Use,CH4
S92000003,2000,Count,Mt Co2Equiv,5.364,Agriculture and Related Land Use,CO2
S92000003,2000,Count,Mt Co2Equiv,3.137,Agriculture and Related Land Use,N2O
S92000003,2001,Count,Mt Co2Equiv,5.159,Agriculture and Related Land Use,CH4
S92000003,2001,Count,Mt Co2Equiv,5.183,Agriculture and Related Land Use,CO2
S92000003,2001,Count,Mt Co2Equiv,3.151,Agriculture and Related Land Use,N2O
S92000003,2002,Count,Mt Co2Equiv,5.204,Agriculture and Related Land Use,CH4
S92000003,2002,Count,Mt Co2Equiv,4.884,Agriculture and Related Land Use,CO2
S92000003,2002,Count,Mt Co2Equiv,3.109,Agriculture and Related Land Use,N2O
S92000003,2003,Count,Mt Co2Equiv,5.216,Agriculture and Related Land Use,CH4
S92000003,2003,Count,Mt Co2Equiv,5.036,Agriculture and Related Land Use,CO2
S92000003,2003,Count,Mt Co2Equiv,3.09,Agriculture and Related Land Use,N2O
S92000003,2004,Count,Mt Co2Equiv,5.235,Agriculture and Related Land Use,CH4
S92000003,2004,Count,Mt Co2Equiv,4.714,Agriculture and Related Land Use,CO2
S92000003,2004,Count,Mt Co2Equiv,2.973,Agriculture and Related Land Use,N2O
S92000003,2005,Count,Mt Co2Equiv,5.249,Agriculture and Related Land Use,CH4
S92000003,2005,Count,Mt Co2Equiv,4.521,Agriculture and Related Land Use,CO2
